bn_word,en_word,normalised_bn,pos,ipa_pron,roman_pron,bn_definition,bn_synonyms,en_synonyms,bn_antonyms,usage_sentences
ক্যাপসুল,capsule,ক্যাপসুল,,"ˈkapsəl,ˈkapˌso͞ol",Kyāpasula,,শুষ্ক বীজকোষ|ক্যাপসুল|ঠুলি|বীজকোষ,capsulize|pill|tablet|lozenge|pastille|drop|tab,,"The remainder of the introduction provides <b>capsule</b> summaries of the essays, somewhat under-cutting the need to read the book.|He grabbed a small needle gun and a cylindrical <b>capsule</b> , a stim, and loaded it into the device."
উলটান,capsize,উলটান,,"kapˈsīz,ˈkapˌsīz",Ulaṭāna,,উল্টে ফেলা|উল্টে যাওয়া|উলটান|উলটাইয়া যাত্তয়া,overturn|turn over|turn upside down|upend|flip/tip/keel over|turn turtle|pitchpole|overset,,"Both realized a <b>capsized</b> vessel is difficult to find, but wore their vests and stayed with their boat.|After the fifth <b>capsize</b> , I climbed out on deck, fully intended to set off my distress beacon to ask for help."
মকর,Capricorn,মকর,,ˈkapriˌkôrn,Makara,,মকর রাশি|মকর|মকররাশি,goat,,"By the way, I'm a Leo and my husband is a <b>Capricorn</b> , and those Sun sign charts say we'd never make it.|As a <b>Capricorn</b> , you probably think you already have all the answers to this week's cosmic conundrums."
খেয়ালখুশিমত,capriciously,খেয়ালখুশিমত,,,Khēẏālakhuśimata,,খেয়ালখুশিমত,freakishly,,
খামখেয়ালী,capricious,খামখেয়ালী,,"-ˈprē-,kəˈpriSHəs",Khāmakhēẏālī,,চঞ্চল|অনির্ভরযোগ্য|অনিয়মিত|খামখেয়ালী|ছিটগ্রস্ত|অব্যবস্থিতচিত্ত|আবদারে,fickle|inconstant|changeable|variable|mercurial|volatile|unpredictable|temperamental|whimsical|fanciful|flighty|quirky|faddish,,"It is <b>capricious</b> and fickle, changing moods easily.|In any event, I reserve the right to be arbitrary and <b>capricious</b> in choosing which comments to delete because they cross the line."
আবদার,caprice,আবদার,,kəˈprēs,Ābadāra,,মর্জি|খেয়াল|উচ্ছল খেয়ালি সুরের বাজনা|আবদার|অহেতুক কল্পনা|উত্কল্পনা|খামখেয়াল|খেয়ালখুশি|ঝোঁক|কোশখেয়াল,whim|whimsy|vagary|fancy|fad|quirk|eccentricity|foible,,"Every state and government in the world is now vulnerable to the <b>caprices</b> and blackmails of financial markets.|Unless you live in Spain, it is difficult to count the layers of irony stacked up alongside that idea, after 103 years in which the <b>caprice</b> of human judgement would appear to have rather favoured the famous team in white."
কাপাচিনো,cappuccino,কাপাচিনো,,"ˌkap-,ˌkäpəˈCHēnō",Kāpācinō,,কাপাচিনো,,,"During my day-shifts, in between making countless <b>cappuccinos</b> and lattes, I would talk to the customers and ask them what they do.|We ordered coffees, two large <b>cappuccinos</b> at £1.65 each."
আত্মসমর্পণ,capitulation,আত্মসমর্পণ,,kəˌpiCHəˈlāSHən,Ātmasamarpaṇa,,আত্মসমর্পণ|সর্তাধীনে আত্মসমর্পণ|আত্মসমর্পণের চুক্তিপত্র,fall|surrender,,"There is no compromise with such an enemy, no <b>capitulation</b> to him, no way to avoid casualties, no easy way out.|All around the world, Britain's defeat or <b>capitulation</b> was expected within weeks."
আত্মসমর্পণ করা,capitulate,আত্মসমর্পণ করা,,kəˈpiCHəˌlāt,Ātmasamarpaṇa karā,,আত্মসমপর্ণ করা|সর্তাধীনে আত্মসমর্পণ করা|আত্মসমর্পণ করা,surrender|give in/up|yield|concede defeat|give up the struggle|submit|knuckle under|lay down one's arms|raise/show the white flag|throw in the towel,,"On 29 May there was a bombshell - the Belgian army had <b>capitulated</b> , reducing further the perimeter around Dunkirk.|An effort without ground action leaves the decision of when to <b>capitulate</b> with the enemy."
ব্যবস্থাপরিষদ্ভবন,capitol,ব্যবস্থাপরিষদ্ভবন,,,Byabasthāpariṣadbhabana,,ব্যবস্থাপরিষদ্ভবন|দেবরাজ জুপিটারের মন্দির|আইনসভা ভবন|প্রাচীন রোমে জুপিটারের মন্দির,capitol building,,
ব্যবস্থাপরিষদ্ভবন,Capitol,ব্যবস্থাপরিষদ্ভবন,,ˈkapitl,Byabasthāpariṣadbhabana,,ব্যবস্থাপরিষদ্ভবন|দেবরাজ জুপিটারের মন্দির|আইনসভা ভবন|প্রাচীন রোমে জুপিটারের মন্দির,capitol building,,"These are local employees such as teachers who naturally cluster in the population centers, state employees at <b>capitols</b> and major cities and federal employees in major cities.|Legislators appear at state <b>capitols</b> or in Washington, DC, every year as representatives of their constituents."
মৃতু্যদণ্ড,capital punishment,মৃতু্যদণ্ড,,,Mr̥tuyadaṇḍa,,মৃত্যুদণ্ড|মৃতু্যদণ্ড|বধদণ্ড,executing|execution|death penalty,,"They end up robbing a bank, for which the penalty in China is <b>capital punishment</b> .|I was hoping he'd be sent to jail for life, and not just because I oppose <b>capital punishment</b> ."
বড় হাতের অক্ষর,capital letter,বড় হাতের অক্ষর,,,Baṛa hātēra akṣara,,বড় হাতের অক্ষর,capital|uppercase|majuscule|upper-case letter,,
নিজ সুবিধার্থে প্রয়োগ করা,capitalize,নিজ সুবিধার্থে প্রয়োগ করা,,ˈkapətlˌīz,Nija subidhārthē praẏōga karā,,নিজ সুবিধার্থে কাজে লাগান|মূলধনরুপে প্রয়োগ করা|নিজ সুবিধার্থে প্রয়োগ করা|পুঁজিতে পরিণত করা,finance|fund|underwrite|provide capital for|back|bankroll|stake|grubstake,,an attempt by the opposition to <b>capitalize</b> on the government's embarrassment|One adjustment is to <b>capitalize</b> R&D expenditures and amortize them over five years instead of expensing these investments in the year they are made.
নিজ সুবিধার্থে প্রয়োগ,capitalization,নিজ সুবিধার্থে প্রয়োগ,,,Nija subidhārthē praẏōga,,মূলধনে পরিণতি|নিজ সুবিধার্থে প্রয়োগ,,,"Industry sources said the startup will hire as many as 100 people and have an initial <b>capitalization</b> of $3540 million.|It is a zero-debt company which regularly posts growth of 30 per cent per annum, and is listed on the Nasdaq with a market <b>capitalization</b> in the billions."
পুঁজিবাদী,capitalist,পুঁজিবাদী,,ˈkapətl-ist,Pum̐jibādī,,ধনতান্ত্রিক|পুঁজিপতি|ধনিক|ধনতন্ত্রবাদী|পুঁজিবাদী,financier|investor|industrialist|magnate|tycoon|entrepreneur|businessman|businesswoman|capitalistic,,The economic anarchy of <b>capitalist</b> society is the real source of the evil.|Marxism teaches that modern <b>capitalist</b> society is a society of antagonistic classes.
পুঁজিবাদ,capitalism,পুঁজিবাদ,,ˈkapətlˌizəm,Pum̐jibāda,,পুঁজিবাদ|ধনতন্ত্র|ধনতন্ত্রবাদ|ধনিকতন্ত্র,free enterprise|private enterprise|the free market|enterprise culture,,She advocates the control of the excesses of <b>capitalism</b> by regulation and government.|Nor can we be said to have pure <b>capitalism</b> anymore than the Soviets had pure communism.
রাজধানী,capital,রাজধানী,,ˈkapitl,Rājadhānī,,মস্তক-সম্বন্ধীয়|প্রাণদণ্ডযোগ্য|মারাত্মক|প্রধান|মুখ্য|শীর্ষস্থানীয়|গুরুত্বপূর্ণ|উত্কৃষ্ট||মৃত্যুদণ্ড সংক্রান্ত|মূলধন|রাজধানী|পুঁজি|রেস্ত|প্রধান দ্রব্য|নীবিবন্দ্ধ|নগর|বড় হাতের অক্ষর,majuscule|great|first city|seat of government|metropolis,,"In addition to a team, a space enterprise requires start-up <b>capital</b> .|The dominant society uses cultural <b>capital</b> to lure nondominant groups into being like them."
কৈশিক,capillary,কৈশিক,,ˈkapəˌlerē,Kaiśika,,সূক্ষ্ম নল|কৈশিক নাড়ী|কৈশিক,capillary tube|hairlike,,"One of the most colorful controversies in the first decade of the 20th century concerned how oxygen moved across the pulmonary <b>capillary</b> wall into the blood.|This encroachment on brain tissue by enlarged ventricles impinges on the caliber of arterioles and <b>capillaries</b> , often resulting in ischemia."
লম্ফ,caper,লম্ফ,,ˈkāpər,Lampha,,আনন্দে নেচে বেড়ানো|একজাতীয় কাঁটাগাছ|নাচা|লাফান|লম্ফ দেত্তয়া|চঁচল নৃত্য করা|লম্ফ|নৃত্য|নাচ,skip|dance|romp|frisk|gambol|cavort|prance|frolic|leap|hop|jump|rollick,,"The 90 minute opener is a <b>caper</b> involving a thoroughbred racehorse, a bunch of knock-off porn videos (also featuring animals), a Greek kebab shop owner and, naturally, wads of cash.|Their latest <b>caper</b> is a promise to abolish all university tuition fees - while Labour is taking the economically responsible course of putting the fees up!"
অন্তরীপ,cape,অন্তরীপ,,kāp,Antarīpa,,অন্তরীপ|স্কন্ধাবরণ|অঙ্গরক্ষণ|হাতাহীন কোটবিশেষ,cloak|mantle|cope|wrap|stole|poncho|shawl|tippet|capelet|pelisse|mantelet,,"the hair on a <b>cape</b> for the taxidermist can spoil in warm weather|the robe was decorated with gold lace on the fronts, <b>cape</b>, and hem"
ধারণক্ষমতা,capacity,ধারণক্ষমতা,,kəˈpasitē,Dhāraṇakṣamatā,,সামর্থ্য|পদাধিকার|ধারণক্ষমতা|শক্তি|ধারণাশক্তি|ধারকতা|প্রৌঢ়ি,volume|size|magnitude|dimensions|measurements|proportions,,"And businesses with plants not working at full <b>capacity</b> because of reduced demand are not likely to rush into a lot of new investments.|The consortium - which serves in a voluntary <b>capacity</b> - is chaired by John Foley, chief executive of Waterford Crystal."
